21:46:31.780 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.22.0
21:46:31.790 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
21:46:32.413 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {style.color=always, basedir=/Users/sayantan/Documents/Projects/testng-browserstack-master, user.dir=/Users/sayantan/Documents/Projects/testng-browserstack-master, localrepository=/Users/sayantan/.m2/repository}
21:46:32.415 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/sayantan/Documents/Projects/testng-browserstack-master/browserstack.yml
21:46:32.598 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
21:46:32.615 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:46:33.717 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:46:37.926 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
21:46:38.762 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:47:49.778 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
21:47:50.961 [Thread-1] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/qqnmpmtq8xhyqrsopn5k60fqjs4hntvbg5jdqv6g to view build report, insights, and many more debugging information all at one place!

21:47:50.962 [Thread-1] INFO  c.b.config.BrowserStackConfig - INFO
21:50:19.983 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.22.0
21:50:19.990 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
21:50:20.648 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {style.color=always, basedir=/Users/sayantan/Documents/Projects/testng-browserstack-master, user.dir=/Users/sayantan/Documents/Projects/testng-browserstack-master, localrepository=/Users/sayantan/.m2/repository}
21:50:20.650 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/sayantan/Documents/Projects/testng-browserstack-master/browserstack.yml
21:50:20.881 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
21:50:20.900 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:50:22.082 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:50:26.203 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
21:50:27.123 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:50:37.878 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
21:50:40.296 [Thread-1] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/cxrete2xrjarfnmrjwtygqai4l2nvjpqwpaue8cl to view build report, insights, and many more debugging information all at one place!

21:50:40.296 [Thread-1] INFO  c.b.config.BrowserStackConfig - INFO
21:52:51.273 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.22.0
21:52:51.289 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
21:52:52.014 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {style.color=always, basedir=/Users/sayantan/Documents/Projects/testng-browserstack-master, user.dir=/Users/sayantan/Documents/Projects/testng-browserstack-master, localrepository=/Users/sayantan/.m2/repository}
